date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:20	134378/134378	---M--	200	added ('OK')	image/jpeg	etag:%2220cea-552f207719200%22	https://www.kkiosk.ch/media/engagement/1731265_ff_locarno_2017_p_b_1000x280px.jpg	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/media/engagement/1731265_ff_locarno_2017_p_b_1000x280px.jpg	(from https://www.kkiosk.ch/de/engagement/)
15:42:20	26479/26479	---M-Z	200	added ('OK')	application/x-javascript	etag:%22pub1482928182;gz%22	https://www.kkiosk.ch/layout/js/fancybox2.js	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/layout/js/fancybox2.js	(from https://www.kkiosk.ch/de/engagement/)
15:42:20	182991/182991	---M--	200	added ('OK')	image/jpeg	etag:%222cacf-54b3faec93cc0%22	https://www.kkiosk.ch/media/app/kkiosk_app_t.jpg	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/media/app/kkiosk_app_t.jpg	(from https://www.kkiosk.ch/de/app/)
15:42:20	222/222	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Oct%202017%2022:42:20%20GMT	https://www.kkiosk.ch/media/engagement/preis1_vip_tickets_st_moritz.jpg	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/media/engagement/preis1_vip_tickets_st_moritz.jpg	(from https://www.kkiosk.ch/de/engagement/)
15:42:20	127371/127371	---M--	200	added ('OK')	image/jpeg	etag:%221f18b-552f207719200%22	https://www.kkiosk.ch/media/engagement/festivallocarno_t.jpg	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/media/engagement/festivallocarno_t.jpg	(from https://www.kkiosk.ch/de/engagement/)
15:42:20	501/501	---M--	200	added ('OK')	image/png	etag:%221f5-53b45eac636e2%22	https://www.kkiosk.ch/_lib/form/calculation-captcha.png	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/_lib/form/calculation-captcha.png	(from https://www.kkiosk.ch/de/engagement/)
15:42:21	15042/15042	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2022:42:20%20GMT	https://www.kkiosk.ch/de/engagement/teilnahmebedingungen/	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/de/engagement/teilnahmebedingungen/index.html	(from https://www.kkiosk.ch/de/engagement/)
15:42:21	222/222	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Oct%202017%2022:42:21%20GMT	https://www.kkiosk.ch/media/engagement/ok_energydrink_large.jpg	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/media/engagement/ok_energydrink_large.jpg	(from https://www.kkiosk.ch/de/engagement/)
15:42:21	13304/13304	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202017%2022:42:21%20GMT	https://www.kkiosk.ch/de/socialmedia/index.php	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/de/socialmedia/index-2.html	(from https://www.kkiosk.ch/de/socialmedia/)
15:42:22	138314/138314	---M--	200	added ('OK')	image/jpeg	etag:%2221c4a-5580767521040%22	https://www.kkiosk.ch/media/engagement/ok_energydrink_schneesport.jpg	C:/Users/Raoul/OneDrive/HSLU/ICE%20Campus%20Experience/Valora/sample/Pick%20up/www.kkiosk.ch/media/engagement/ok_energydrink_schneesport.jpg	(from https://www.kkiosk.ch/de/engagement/)
